kwd_no,키워드명,상품카테고리,리스크 등급,대체키워드,리스크 등급별 세부 심의기준,증빙자료유형,키워드 조회 수(누적카운트),마지막 출력일자,키워드등록일자,키워드등록인,비고,키워드 등록일자
US026,reduce Acne,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US027,Reduce Redness,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,7,2025-12-18 11:56:56,,,,
US028,reduced redness,USA(뷰티&디바이스),1등급(사용금지),-,"redness,sebum,pore reduce(감소/개선)
☞ 해당표현 삭제(임상과 관계없이 사용불가)",,15,2025-12-19 11:52:25,,,,
US029,Remove Acne,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,0,,,,,
US030,Sebum Control,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,4,2025-12-19 11:52:25,,,,
US031,Sebum reduction,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,0,,,,,
US032,Skin breakouts,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,0,,,,,
US033,target dark spot-prone area,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,0,,,,,
US034,2-Week Visible Brightening Results,USA(뷰티&디바이스),2등급(대체키워드사용),Radiant-Looking Skin in 2 Weeks,"“brightening”은 미국에서 기능성(미백)으로 drug claim 입니다
그리고 기간+효과 보장 느낌도 risky 합니다",,8,2025-12-19 11:52:25,,,,
US035,acne-prone skin,USA(뷰티&디바이스),2등급(대체키워드사용),"1) Suitable for skin prone to excess oil and visible pores
2) Suitable for most skin types
3) Ideal for oily or combination skin",ROK 검토의견,,17,2025-12-18 11:56:56,,,,
US036,All-in-One Device Serum,USA(뷰티&디바이스),2등급(대체키워드사용),"Serum + Beauty Tool Set
Serum&Beauty applicator Set","규제 해석에는 항상 여지가 존재하기 때문에, 당사에서는 가장 보수적인 방향을 기준으로 검토 의견을 드리고 있습니다.
해당 표현의 실제 사용 여부에 대해서는 브랜드 측에서 내부적으로 판단",,57,2025-12-22 11:06:29,,,,
US037,Antimicrobial care,USA(뷰티&디바이스),2등급(대체키워드사용),Helps keep skin clean,ROK 검토의견,,51,2025-12-22 11:06:29,,,,
US038,Available in Korean Dermatology & Pharmacy,USA(뷰티&디바이스),2등급(대체키워드사용),Available in select clinics and pharmacies in Korea,ROK 검토의견,,9,2025-12-19 11:52:25,,,,
US039,Blemishes Treatment,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care / Even-looking tone / Moisturizing / Gentle / Nourishing / Luminous finish,ROK 검토의견,,6,2025-12-18 11:56:48,,,,
US040,Blemish-prone skin,USA(뷰티&디바이스),2등급(대체키워드사용),Suitable for skin prone to excess oil and visible pores,ROK 검토의견,,4,2025-12-19 11:52:25,,,,
US041,Blotchy Areas,USA(뷰티&디바이스),2등급(대체키워드사용),Blotchy-looking areas,ROK 검토의견,,3,2025-12-19 11:52:25,,,,
US042,Blotchy Tone,USA(뷰티&디바이스),2등급(대체키워드사용),Blotchy-looking areas,ROK 검토의견,,0,,,,,
US043,Blue LED & Vibration for optimal result,USA(뷰티&디바이스),2등급(대체키워드사용),Blue LED & Vibration for an Enhanced Skincare Experience,ROK 검토의견,,5,2025-12-15 11:54,,,,
US044,Blue LED and Vibration modes for optimal results,USA(뷰티&디바이스),2등급(대체키워드사용),Blue LED & Vibration for an Enhanced Skincare Experience,ROK 검토의견,,0,,,,,
US045,Blue LED Proven Antimicrobial Care,USA(뷰티&디바이스),2등급(대체키워드사용),"Blue LED & Gentle Vibration-Equipped Beauty Tool
Blue LED & Vibration for an Enhanced Skincare Experience",ROK 검토의견,,13,2025-12-19 15:01:57,,,,
US046,BLUE SHOT,USA(뷰티&디바이스),2등급(대체키워드사용),Blue Glow Mode / Blue LED Mode / Blue Care,ROK 검토의견,,0,,,,,
US047,Brightening,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care / Even-looking tone / Moisturizing / Gentle / Nourishing / Luminous finish / Boosts Radiance & Glow,ROK 검토의견,,0,,,,,
US048,Brightening Booster Formula Melitathione,USA(뷰티&디바이스),2등급(대체키워드사용),"Radiance-enhancing formula
Glow-enhancing blend with Melitathione",ROK 검토의견,,2,2025-12-19 15:02:45,,,,
US049,Brightening synergy formula for dark spots and pigmentation care,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance-boosting care designed for uneven-looking areas,ROK 검토의견,,2,2025-12-15 11:54,,,,
US050,brightening(브라이트닝/밝게 만드는),USA(뷰티&디바이스),2등급(대체키워드사용),"Radiance-boosting, Luminous effect",-,,3,2025-12-15 11:54,,,,
US051,"Brightening, Radiance, Luminous",USA(뷰티&디바이스),2등급(대체키워드사용),"Radiant-looking, Luminous",ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US052,Calms irritation on acne-prone skin,USA(뷰티&디바이스),2등급(대체키워드사용),Soothing care for stressed-looking skin,ROK 검토의견,,12,2025-12-19 15:02:45,,,,
US053,Clear Acne,USA(뷰티&디바이스),2등급(대체키워드사용),Skin Clarifying,Clear Acne는 여드름 치료를 나타내고  OTC drug 클레임입니다.,,9,2025-12-19 15:01:57,,,,
US054,Clear dark spots,USA(뷰티&디바이스),2등급(대체키워드사용),Helps visually enhance uneven-looking areas,ROK 검토의견,,0,,,,,
US055,Clinically Proven Results,USA(뷰티&디바이스),2등급(대체키워드사용),"Consumer Testing Insights, User Experience Feedback",ROK 검토의견(현재 당사 보유중인 국내임상증빙자료는 ROK 요구기준을 충족하지 않아서 사용불가하다는 판단),,16,2025-12-18 11:56:56,,,,
US056,Clinically Verified 460nm Blue Light Therapy for Antimicrobial Care,USA(뷰티&디바이스),2등급(대체키워드사용),Blue LED & Gentle Vibration-Equipped Beauty Tool,ROK 검토의견,,4,2025-12-19 11:52:25,,,,
US057,Controls acne-causing sebum,USA(뷰티&디바이스),2등급(대체키워드사용),Helps reduce excess oil,ROK 검토의견,,2,2025-12-19 15:02:45,,,,
US058,Cooling and calming relief to irritated skin,USA(뷰티&디바이스),2등급(대체키워드사용),"Helps provide a cooling, calming feel when skin feels easily irritated",ROK 검토의견,,7,2025-12-19 15:02:45,,,,
US059,Dark Circles,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care / Even-looking tone / Moisturizing / Gentle / Nourishing / Luminous finish,ROK 검토의견,,0,,,,,
US060,Dark Spot,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care / Even-looking tone / Moisturizing / Gentle / Nourishing / Luminous finish,ROK 검토의견,,2,2025-12-12 17:34,,,,
US061,Dark Spot Zone Perfect Fit,USA(뷰티&디바이스),2등급(대체키워드사용),"Blotchy-looking area
Uneven-Looking-Tone Area Perfect Fit
Perfect Fit for Uneven-Looking Areas
Illuminating Perfect Fit for Uneven-Looking Areas
Designed for targeted application on areas needing radiance care",ROK 검토의견,,1,2025-12-12 17:10,,,,
US062,Dark Spot/Blemish/Freckles 111% improved,USA(뷰티&디바이스),2등급(대체키워드사용),"Helps improve the look of dull, uneven areas for a clearer appearance",ROK 검토의견(현재 당사 보유중인 국내임상증빙자료는 ROK 요구기준을 충족하지 않아서 사용불가하다는 판단),,4,2025-12-19 11:52:25,,,,
US063,Enhanced absorption,USA(뷰티&디바이스),2등급(대체키워드사용),"Helps support comfortable application
Supports better product absorption
Supports better product application",ROK 검토의견,,2,2025-12-19 15:02:45,,,,
US064,ENTER THE PHARMACY,USA(뷰티&디바이스),2등급(대체키워드사용),Available via pharmacy partners/Shop through pharmacy retailers,ROK 검토의견,,2,2025-12-15 12:01,,,,
US065,Even Skin Tone,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care/Even-looking tone/Moisturizing/Gentle/Nourishing/Luminous finish,ROK 검토의견,,2,2025-12-12 17:34,,,,
US066,Even Toning,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care/Even-looking tone/Moisturizing/Gentle/Nourishing/Luminous finish,ROK 검토의견,,7,2025-12-18 11:56:56,,,,
US067,Evens out skin tone,USA(뷰티&디바이스),2등급(대체키워드사용),Helps promote a more even-looking complexion,ROK 검토의견,,2,2025-12-15 11:54,,,,
US068,Freckles,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care/Even-looking tone/Moisturizing/Gentle/Nourishing/Luminous finish,ROK 검토의견,,0,,,,,
US069,harmless(해롭지 않은/안전한),USA(뷰티&디바이스),2등급(대체키워드사용),"Gentle formula, Mild on skin",-,,5,2025-12-19 11:52:25,,,,
US070,Hyperpigmentation,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care/Even-looking tone/Moisturizing/Gentle/Nourishing/Luminous finish,ROK 검토의견,,1,2025-12-12 17:10,,,,
US071,Hypoallergenic,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care/Even-looking tone/Moisturizing/Gentle/Nourishing/Luminous finish,ROK 검토의견,,2,2025-12-15 11:54,,,,
US072,Improves enlarged pores,USA(뷰티&디바이스),2등급(대체키워드사용),Helps refine the look of pores,ROK 검토의견,,0,,,,,
US073,lightening(미백/라이트닝),USA(뷰티&디바이스),2등급(대체키워드사용),"Skin-tone balancing, Glow-enhancing",-,,3,2025-12-19 11:52:25,,,,
US074,Low Irritation(test),USA(뷰티&디바이스),2등급(대체키워드사용),"Gentle formula for comfortable use
Gentle formula for daily use","“Non-irritating”, “Skin irritation tested”와 같이 소비자에게 제품의 안전성을 객관적으로 보장하는 의미로 인식될 수 있는 표현을 사용하는 경우, 
FDA뿐만 아니라 FTC(Federal Trade Commission, 미국 광고 규제 기관) 관점에서도 해당 표현을 뒷받침할 수 있는 신뢰 가능한 
과학적 근거(competent and reliable scientific evidence) 가 요구됩니다.
제출해주신 국내 인체적용시험 자료는 제품의 내부 안전성 평가 자료로서는 의미가 충분하나, 미국 시장에서 위와 같은 안전성 보장 표현을 
대외 마케팅 문구로 사용하기에는 보수적인 규제 관점에서는 리스크가 남아 있는 것으로 판단됩니다.
이에 당사에서는 미국 시장 진출 시 발생할 수 있는 규제 및 광고 리스크를 최소화하기 위해, 
“Gentle formula for comfortable use” 등 보다 완화된 표현을 권고드린 것입니다.
최종 문구 사용 여부에 대한 판단은 브랜드 측 결정 사항임을 안내드립니다",인체적용시험결과서,25,2026-01-13 00:25:51,,,,
US075,Melasma,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care/Even-looking tone/Moisturizing/Gentle/Nourishing/Luminous finish,ROK 검토의견,,0,,,,,
US076,Micro Spicule Acne-causing Sebum & Pore Improvement,USA(뷰티&디바이스),2등급(대체키워드사용),Micro-spicule formula/helps reduce excess oil and visibly refine the look of pores/Suitable for skin prone to excess oil and visible pores,ROK 검토의견,,13,2025-12-19 15:02:45,,,,
US077,Non-comedogenic(Acne Skin Suitability Test),USA(뷰티&디바이스),2등급(대체키워드사용),"Helps promote clear-looking skin
Helps keep skin feeling comfortable and fresh
Suitable for oil-prone skin","Non-comedogenic 등을 표기하기 위해선 임상이 필요합니다. 
임상업체는 CGP인증이 되어 있고, 외국기관이면(미국외) 21CFR312.120을 준수하는 업체에서 임상이 되어야합니다
이와 같이 소비자에게 제품의 안전성을 객관적으로 보장하는 의미로 인식될 수 있는 표현을 사용하는 경우, 
FDA뿐만 아니라 FTC(Federal Trade Commission, 미국 광고 규제 기관) 관점에서도 해당 표현을 뒷받침할 수 있는 신뢰 가능한 
과학적 근거(competent and reliable scientific evidence) 가 요구됩니다.
제출해주신 국내 인체적용시험 자료는 제품의 내부 안전성 평가 자료로서는 의미가 충분하나, 미국 시장에서 위와 같은 안전성 보장 표현을 
대외 마케팅 문구로 사용하기에는 보수적인 규제 관점에서는 리스크가 남아 있는 것으로 판단됩니다.",인체적용시험결과서,49,2025-12-22 11:06:29,,,,
US078,non-injurious(무해한/해를 끼치지 않는),USA(뷰티&디바이스),2등급(대체키워드사용),"Suitable for sensitive use, Gentle formula",-,,3,2025-12-15 11:54,,,,
US079,non-poisonous(무독성/유해하지 않은),USA(뷰티&디바이스),2등급(대체키워드사용),"Gentle on skin, Suitable for sensitive use",-,,3,2025-12-19 11:52:25,,,,
US080,non-toxic(독성이 없는/해롭지 않은),USA(뷰티&디바이스),2등급(대체키워드사용),"Gentle on skin, Safe for daily use",-,,2,2025-12-15 11:54,,,,
US081,Patchy Areas,USA(뷰티&디바이스),2등급(대체키워드사용),Patchy-looking areas/Patchy-looking skin tone,ROK 검토의견,,0,,,,,
US082,Patchy Tone,USA(뷰티&디바이스),2등급(대체키워드사용),Patchy-looking areas/Patchy-looking skin tone,ROK 검토의견,,0,,,,,
US083,Provides immediate soothing/calming effect,USA(뷰티&디바이스),2등급(대체키워드사용),"Helps deliver a soothing, calming feel",ROK 검토의견,,1,2025-12-15 11:54,,,,
US084,Remove acne-causing bacteria,USA(뷰티&디바이스),2등급(대체키워드사용),Helps reduce buildup of excess oil and impurities,ROK 검토의견,,0,,,,,
US085,Revitalizing,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care/Even-looking tone/Moisturizing/Gentle/Nourishing/Luminous finish,ROK 검토의견,,0,,,,,
US086,Sensitive Skin Irritation Test Completed,USA(뷰티&디바이스),2등급(대체키워드사용),Suitable for various skin types/including easily irritated skin,"For sensitive skin은 임상시험 진행 시 스스로가 민감성피부라고 self assessment한 피임상자가 50%가 되어야 사용가능합니다.
100 대상 임상 HRIPT를 하는데 그 중 50명 이상이 스스로 민감피부로 밝힌 피임상자대상 시험해야 합니다.
**최종검토결과 당사보유중인 국내임상증빙자료는 상기 기준에 충족하지 않아서 대체표현을 사용하는것으로 결정되었습니다",,14,2025-12-15 11:54,,,,
US087,Skin Irritation test(non/low),USA(뷰티&디바이스),2등급(대체키워드사용),"Gentle formula for comfortable use
Gentle formula for daily use","“Non-irritating”, “Skin irritation tested”와 같이 소비자에게 제품의 안전성을 객관적으로 보장하는 의미로 인식될 수 있는 표현을 사용하는 경우, 
FDA뿐만 아니라 FTC(Federal Trade Commission, 미국 광고 규제 기관) 관점에서도 해당 표현을 뒷받침할 수 있는 신뢰 가능한 
과학적 근거(competent and reliable scientific evidence) 가 요구됩니다.
제출해주신 국내 인체적용시험 자료는 제품의 내부 안전성 평가 자료로서는 의미가 충분하나, 미국 시장에서 위와 같은 안전성 보장 표현을 
대외 마케팅 문구로 사용하기에는 보수적인 규제 관점에서는 리스크가 남아 있는 것으로 판단됩니다.
이에 당사에서는 미국 시장 진출 시 발생할 수 있는 규제 및 광고 리스크를 최소화하기 위해, 
“Gentle formula for comfortable use” 등 보다 완화된 표현을 권고드린 것입니다.
최종 문구 사용 여부에 대한 판단은 브랜드 측 결정 사항임을 안내드립니다",인체적용시험결과서,51,2025-12-22 11:06:29,,,,
US088,Skin Melanin Levels Reduced,USA(뷰티&디바이스),2등급(대체키워드사용),"Helps promote a more even-looking complexion
Helps visually diminish dull-looking areas",Melanin 감소는 의약 claim입니다,,0,,,,,
US089,Skin Reset,USA(뷰티&디바이스),2등급(대체키워드사용),Skin Relief,"“Skin Reset”은 피부를 기능적으로 되돌린다 / 회복시킨다의 뜻으로 치료,재생 암시 (drug-leaning) 합니다.",,48,2025-12-22 11:06:29,,,,
US090,Stubborn Dark Spot Gone with just One Patch,USA(뷰티&디바이스),2등급(대체키워드사용),Helps visibly enhance the look of uneven-toned areas,ROK 검토의견,,0,,,,,
US091,Stubborn Dark Spot Out Gone with just One Patch,USA(뷰티&디바이스),2등급(대체키워드사용),Helps visibly enhance the look of uneven-toned areas,Dark spot은 medical claim 입니다,,0,,,,,
US092,Targeted Dark Spot Care,USA(뷰티&디바이스),2등급(대체키워드사용),Radiance care for specific facial areas,ROK 검토의견,,0,,,,,
US093,Tea Tree Instant Soothing & Cooling,USA(뷰티&디바이스),2등급(대체키워드사용),"Tea Tree for a Quick Soothing & Cooling Feel,
Tea Tree for a Fast Soothing & Cooling Feel",ROK 검토의견,,50,2025-12-22 11:06:29,,,,
US094,Troubled skin,USA(뷰티&디바이스),2등급(대체키워드사용),For skin that looks easily stressed,ROK 검토의견,,0,,,,,
US095,Uneven Skin Tone 107% improved,USA(뷰티&디바이스),2등급(대체키워드사용),Helps promote a more radiant and even-looking complexion,ROK 검토의견(현재 당사 보유중인 국내임상증빙자료는 ROK 요구기준을 충족하지 않아서 사용불가하다는 판단),,1,2025-12-19 11:52:25,,,,
US096,whitening(화이트닝/피부를 하얗게 하는),USA(뷰티&디바이스),2등급(대체키워드사용),"Radiance-enhancing, Tone-balancing",-,,7,2025-12-19 11:52:25,,,,
US097,B&A이미지 단독사용(임상시험 증빙없이),USA(뷰티&디바이스),3등급(조건부사용),-,ROK 검토의견,,8,2025-12-19 11:52:25,,,,
US098,Blue LED Care,USA(뷰티&디바이스),3등급(조건부사용),-,ROK 검토의견,,0,,,,,
US099,Dark spot-prone area,USA(뷰티&디바이스),3등급(조건부사용),-,ROK 검토의견,,0,,,,,
US100,OO% 성분함유 수치 표현,USA(뷰티&디바이스),3등급(조건부사용),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US101,Pores appeared smoother,USA(뷰티&디바이스),3등급(조건부사용),Helps refine the look of pores,ROK 검토의견,,15,2025-12-18 11:56:56,,,,
US102,Available in select clinics and pharmacies in Korea,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-12 17:10,,,,
US103,Available via pharmacy partners,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-12 17:10,,,,
US104,Blotchy-looking area,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,6,2025-12-19 15:02:45,,,,
US105,Blotchy-looking areas,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US106,Blue Care,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US107,Blue Glow Mode,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US108,Blue LED & Gentle Vibration-Equipped Beauty Tool,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,4,2025-12-15 11:54,,,,
US109,Blue LED & Vibration for an Enhanced Skincare Experience,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,8,2025-12-19 15:02:45,,,,
US110,Blue LED Mode,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US111,booster shot,USA(뷰티&디바이스),4등급(사용가능),-,(사용가능),,3,2025-12-15 12:01,,,,
US112,Boosts Radiance & Glow,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US113,Butterfly area,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US114,Cheek zone,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US115,Clear Skin,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US116,Consumer Testing Insights,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,2,2025-12-12 17:34,,,,
US117,Even-looking tone,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US118,For skin that looks easily stressed,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US119,Gentle formula,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,59,2025-12-22 11:06:29,,,,
US120,Gentle formula for comfortable use,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,62,2025-12-22 11:06:29,,,,
US121,Gentle on skin,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US122,Helps deliver a soothing,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US123,Helps improve the look of dull,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,8,2026-01-13 00:35:42,,,,
US124,Helps keep skin clean,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-19 11:52:25,,,,
US125,Helps promote a clearer-looking complexion,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,5,2025-12-19 15:02:45,,,,
US126,Helps promote a more even-looking complexion,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US127,Helps promote a more radiant and even-looking complexion,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,2,2025-12-12 17:34,,,,
US128,Helps promote clear-looking skin,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,46,2025-12-22 11:06:29,,,,
US129,Helps provide a cooling,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US130,Helps reduce buildup of excess oil and impurities,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US131,Helps reduce excess oil,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,46,2025-12-22 11:06:29,,,,
US132,Helps refine the look of pores,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,14,2025-12-18 11:56:56,,,,
US133,Helps support comfortable application,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US134,Helps visibly enhance the look of uneven-toned areas,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-19 15:02:45,,,,
US135,Helps visually enhance uneven-looking areas,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US136,Ideal for oily and uneven-looking skin,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-15 11:54,,,,
US137,Ideal for oily or combination skin,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-19 11:52:25,,,,
US138,Luminosity Cysteine,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US139,Luminous Finish,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US140,Micro-spicule formula,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,47,2025-12-22 11:06:29,,,,
US141,Moisture Glutamic Acid,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US142,Moisturizing,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,2,2026-01-13 00:25:51,,,,
US143,Moisturizing &Hydrating Formula,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US144,Non-Greasy &Supple Finish,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,3,2025-12-15 11:54,,,,
US145,Nourishing,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-15 11:54,,,,
US146,Nourishing Cream Formula,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,2,2025-12-15 11:54,,,,
US147,Patchy-looking areas,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US148,Radiance care,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-12 17:10,,,,
US149,Radiance care for specific facial areas,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US150,Radiance Glycine,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US151,Radiance-boosting care designed for uneven-looking areas,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US152,Radiance-enhancing,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US153,Radiance-enhancing formula,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US154,Radiant Skin,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
US155,Radiant-looking,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,,,,,,
US156,Radiant-Looking Skin in 2 Weeks,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,1,2025-12-12 17:10,,,,
US157,Rich & SmoothCreamy Texture,USA(뷰티&디바이스),4등급(사용가능),-,ROK 검토의견,,0,,,,,
